Source,Destination, Time,Confirmed,2019 Census
Clayton,Dekalb,26,869,"292,256"
Clayton,Fayette,22,99,"114,421"
Clayton,Fulton,26,1467,"1,063,937"
Clayton,Henry,27,260,"234,561"
Cobb,Douglas,30,153,"146,343"
Cobb,Fulton,26,1467,"1,063,937"
Coweta,Fayette,26,99,"114,421"
Coweta,Fulton,48,1467,"1,063,937"
Dekalb,Clayton,27,362,"292,256"
Dekalb,Gwinnett,26,690,"936,250"
Dekalb,Fulton,24,1467,"1,063,937"
Dekalb,Henry,39,260,"234,561"
Douglas,cobb,30,714,"760,141"
Douglas,Fulton,30,1467,"1,063,937"
Fulton,Clayton,26,362,"292,256"
Fulton,Cobb,26,714,"760,141"
Fulton,Coweta,48,103,"148,509"
Fulton,Dekalb,24,869,"292,256"
Fulton,Douglas,30,153,"146,343"
Fulton,Fayette,42,99,"114,421"
Fulton,Gwinnett,32,690,"936,250"
Gwinnett,Dekalb,26,869,"292,256"
Gwinnett,Fulton,32,1467,"1,063,937"
Fayette,Clayton,22,362,"292,256"
Fayette,Fulton,42,1467,"1,063,937"
Fayette,Coweta,26,103,"148,509"
Henry,Clayton,27,362,"292,256"
Henry,Dekalb,39,869,"292,256"